movie,release_date,release_order,chronological_order,phase,running_time,budget,box_office,rt_critic_score,rt_audience_score,wikipedia_link
Iron Man,2-May-08,1,3,1,126,140,585.8,94,91,https://en.wikipedia.org/wiki/Iron_Man_(2008_film)
The Incredible Hulk,13-Jun-08,2,5,1,112,137.5,264.8,67,70,https://en.wikipedia.org/wiki/The_Incredible_Hulk_(film)
Iron Man 2,7-May-10,3,4,1,125,170,623.9,72,71,https://en.wikipedia.org/wiki/Iron_Man_2
Thor,6-May-11,4,6,1,114,150,449.3,77,76,https://en.wikipedia.org/wiki/Thor_(film)
Captain America: The First Avenger,22-Jul-11,5,1,1,124,140,370.6,80,74,https://en.wikipedia.org/wiki/Captain_America:_The_First_Avenger
Marvel's The Avengers,4-May-12,6,7,1,143,220,"1,519",91,91,https://en.wikipedia.org/wiki/The_Avengers_(2012_film)
Iron Man 3,3-May-13,7,8,2,131,200,"1,215",79,78,https://en.wikipedia.org/wiki/Iron_Man_3
Thor: The Dark World,8-Nov-13,8,9,2,112,150,644.8,66,75,https://en.wikipedia.org/wiki/Thor:_The_Dark_World
Captain America: The Winter Soldier,4-Apr-14,9,10,2,136,170,714.4,90,92,https://en.wikipedia.org/wiki/Captain_America:_The_Winter_Soldier
Guardians of the Galaxy,1-Aug-14,10,11,2,122,232.3,772.8,92,92,https://en.wikipedia.org/wiki/Guardians_of_the_Galaxy_(film)
Avengers: Age of Ultron,1-May-15,11,13,2,141,444,"1,403",76,83,https://en.wikipedia.org/wiki/Avengers:_Age_of_Ultron
Ant-Man,17-Jul-15,12,14,2,117,130,519.3,83,86,https://en.wikipedia.org/wiki/Ant-Man_(film)
Captain America: Civil War,6-May-16,13,15,3,147,250,"1,153",90,89,https://en.wikipedia.org/wiki/Captain_America:_Civil_War
Doctor Strange,4-Nov-16,14,17,3,115,165,677.7,89,85,https://en.wikipedia.org/wiki/Doctor_Strange_(2016_film)
Guardians of the Galaxy Vol. 2,5-May-17,15,12,3,137,200,864,85,87,https://en.wikipedia.org/wiki/Guardians_of_the_Galaxy_Vol._2
Spider-Man: Homecoming,7-Jul-17,16,16,3,133,175,880.2,92,87,https://en.wikipedia.org/wiki/Spider-Man:_Homecoming
Thor: Ragnarok,3-Nov-17,17,19,3,130,180,854,93,87,https://en.wikipedia.org/wiki/Thor:_Ragnarok
Black Panther,16-Feb-18,18,18,3,134,200,"1,348",96,79,https://en.wikipedia.org/wiki/Black_Panther_(film)
Avengers: Infinity War,27-Apr-18,19,20,3,149,325,"2,048",85,91,https://en.wikipedia.org/wiki/Avengers:_Infinity_War
Ant-Man and the Wasp,6-Jul-18,20,21,3,118,130,623,87,75,https://en.wikipedia.org/wiki/Ant-Man_and_the_Wasp
Captain Marvel,8-Mar-19,21,2,3,124,152,"1,128",79,45,https://en.wikipedia.org/wiki/Captain_Marvel_(film)
Avengers: Endgame,26-Apr-19,22,22,3,181,356,"2,798",94,90,https://en.wikipedia.org/wiki/Avengers:_Endgame
Spider-Man: Far From Home,2-Jul-19,23,23,3,129,160,"1,132",90,95,https://en.wikipedia.org/wiki/Spider-Man:_Far_From_Home
,,,,,,,,,,
,,,,,,,,,,
